key,page,section,en,hi,notes
global.title,Global,Meta,Garima weds Mrinal · Nainital 2026,गरिमा संग मृणाल · नैनीताल २०२६,Browser window / tab title
global.meta_desc,Global,Meta,Garima weds Mrinal · A wedding in the Kumaon hills,"गरिमा संग मृणाल · कुमाऊं की पहाड़ियों में विवाह · २०–२२ नवंबर २०२६ · नैनीताल, उत्तराखंड",SEO meta description
global.nav.gm,Global,Navigation,G&M,ग & म,Bottom Tab 1 label
global.nav.travel_stay,Global,Navigation,Travel & Stay,यात्रा और प्रवास,Bottom Tab 2 label
global.nav.celebrations,Global,Navigation,Celebrations,समारोह,Bottom Tab 3 label
global.nav.rsvp,Global,Navigation,RSVP,निमंत्रण स्वीकारें,Bottom Tab 4 label
home.hero.bride_name,G&M,Hero,GARIMA,गरिमा,Hero bride name
home.hero.connector,G&M,Hero,takes,संग,Hero connector word (takes / संग)
home.hero.groom_name,G&M,Hero,MRINAL,मृणाल,Hero groom name
home.hero.date,G&M,Hero,"Nov 21, 2026",२१ नवंबर २०२६,Hero wedding date
home.hero.location,G&M,Hero,"NAINITAL, INDIA","नैनीताल, भारत",Hero location line
stay.header.title_line1,Travel & Stay,Header,TRAVEL,यात्रा,Hero title line 1
stay.header.title_line2,Travel & Stay,Header,& STAY,& प्रवास,Hero title line 2
stay.travel.air_pantnagar,Travel & Stay,Travel by Air,"<strong class=""stay-bold-highlight"">Pantnagar (PGH)</strong>: The closest airport, about 70 km from Nainital. Regular flights connect Delhi and Pantnagar. Continue to Nainital by taxi.","<strong class=""stay-bold-highlight"">पंतनगर (PGH)</strong>: निकटतम हवाई अड्डा (सड़क मार्ग से ~२ घंटे / ६५ किमी)। नई दिल्ली से सीधी दैनिक उड़ानें उपलब्ध हैं।",Flight option 1
stay.travel.air_delhi,Travel & Stay,Travel by Air,"<strong class=""stay-bold-highlight"">New Delhi (DEL)</strong>: Delhi offers the widest choice of flights. From Delhi, continue by train to Kathgodam or by road to Nainital.","<strong class=""stay-bold-highlight"">नई दिल्ली (DEL)</strong>: दिल्ली पहुंचें, फिर ट्रेन या निजी टैक्सी लें। यह सबसे सुगम और नियमित विकल्प है।",Flight option 2
stay.travel.train_kathgodam,Travel & Stay,Travel by Train,"<strong class=""stay-bold-highlight"">Kathgodam (KGM)</strong>: The nearest railway station. From there, Nainital is roughly 1–1.5 hours by road. Direct trains connect Kathgodam with Delhi.","<strong class=""stay-bold-highlight"">काठगोदाम (KGM)</strong>: निकटतम रेलवे स्टेशन (सड़क मार्ग से ~१ घंटा / २३ किमी)। नई दिल्ली से सीधी दिन और रात की ट्रेनें चलती हैं, जैसे दिन में <em class=""stay-train-name"">काठगोदाम शताब्दी एक्सप्रेस</em> और रात में <em class=""stay-train-name"">रानीखेत एक्सप्रेस</em>। स्टेशन से बाहर निकलते ही प्रीपेड टैक्सी उपलब्ध हैं।",Train travel details
stay.travel.cab_delhi_nainital,Travel & Stay,Travel by Road,"<strong class=""stay-bold-highlight"">Delhi to Nainital</strong>: A scenic road journey (~6.5 to 8 hours / 300 km).","<strong class=""stay-bold-highlight"">दिल्ली से नैनीताल</strong>: एक मनोरम सड़क यात्रा (~६.५ से ८ घंटे / ३०० किमी)।",Road journey intro
